"city_cn","year","city_code","city_invest","city_tech","city_edu","city_industry"
"长治",2017,"140400",26842.89,0.00711547825141034,0.178253161265423,NA
"长治",2018,"140400",32372.65,0.00605449353080455,0.167372766826318,0.4193
"长治",2019,"140400",35450.92,0.00473894612608079,0.151481541240679,0.4356
"长治",2020,"140400",39607.86,0.00595841330483394,0.139712168241354,0.4387
"长治",2021,"140400",38814.66,0.00414791730753277,0.144386682763677,0.3613
"长治",2022,"140400",48780,NA,NA,NA
"晋城",2003,"140500",1925.17,0.00259717323664923,0.230566651256772,0.3626
"晋城",2004,"140500",2337.25,0.00342282597069205,0.215116055193069,0.3068
"晋城",2005,"140500",3131.56,0.00287396696853964,0.219392251785053,0.3118
"晋城",2006,"140500",3923.3,0.0033135370733821,0.190413682359238,0.3095
"晋城",2007,"140500",5404.95,0.0131361067169909,0.201234053969047,0.3162
"晋城",2008,"140500",6329.28,0.0142196268769907,0.210189784620052,0.3223
"晋城",2009,"140500",7648.96,0.0133351462159562,0.213324425804292,0.3254
"晋城",2010,"140500",8950.69,0.014300573475341,0.211016133951684,0.3219
"晋城",2011,"140500",11323.73,0.0133348287180991,0.210373260400946,0.3021
"晋城",2012,"140500",12982.61,0.0147890139193891,0.232221410024641,0.3123
"晋城",2013,"140500",15731.64,0.013730291311014,0.197794381259678,0.3335
"晋城",2014,"140500",16172.19,0.0122432397838512,0.199149898684099,0.3702
"晋城",2015,"140500",18011.45,0.0124365334273476,0.206669091050415,0.3987
"晋城",2016,"140500",17280.79,0.00561316930533847,0.194687858599057,0.4237
"晋城",2017,"140500",17841.21,0.00745465133810992,0.189372805992419,NA
"晋城",2018,"140500",22845.86,0.00660951262066738,0.155315229980399,0.4326
"晋城",2019,"140500",25251.99,0.0112466383837472,0.148668679181324,0.4218
"晋城",2020,"140500",28400.23,0.0122182109088553,0.139477391556336,0.425
"晋城",2021,"140500",29212.96,0.0087974652346082,0.141495076157979,0.3562
"晋城",2022,"140500",38670,NA,NA,NA
"朔州",2003,"140600",1130.81,0.00176864371556672,0.297397440772544,0.3339
"朔州",2004,"140600",1589.77,0.00125804361637218,0.197475106461941,0.3007
"朔州",2005,"140600",2034.34,0.00147467974871457,0.21780528328598,0.3137
